,Year,Category,Cat_Type,Winner,Winning_Artist,Winning_Album,GenderAwards,Decade,Cat_Count,Cat_Type_Count,Winner_Count,Artist_Wins,Album_Wins
865,2004,Pop/Rock Female,Female Artist,Sheryl Crow ,Sheryl Crow ,,Female,2000,42,148,2,2.0,
976,2004,Soul/R&B Male,Male Artist,Usher,Usher,,Male,2000,42,156,5,5.0,
421,2005,Pop/Rock Female,Female Artist,Gwen Stefani ,Gwen Stefani ,,Female,2000,42,148,1,1.0,
789,2005,Soul/R&B Male,Male Artist,R Kelly ,R Kelly ,,Male,2000,42,156,1,1.0,
446,2006,Soul/R&B Male,Male Artist,Jamie Foxx ,Jamie Foxx ,,Male,2000,42,156,1,1.0,
517,2006,Pop/Rock Female,Female Artist,Kelly Clarkson ,Kelly Clarkson ,,Female,2000,42,148,1,1.0,
20,2007,Soul/R&B Male,Male Artist,Akon ,Akon ,,Male,2000,42,156,1,1.0,
356,2007,Pop/Rock Female,Female Artist,Fergie ,Fergie ,,Female,2000,42,148,1,1.0,
234,2008,Soul/R&B Male,Male Artist,Chris Brown,Chris Brown,,Male,2000,42,156,4,4.0,
831,2008,Pop/Rock Female,Female Artist,Rihanna,Rihanna,,Female,2000,42,148,9,9.0,
686,2009,Soul/R&B Male,Male Artist,Michael Jackson,Michael Jackson,,Male,2000,42,156,11,24.0,
916,2009,Pop/Rock Female,Female Artist,Taylor Swift,Taylor Swift,,Female,2000,42,148,18,23.0,
557,2010,Pop/Rock Female,Female Artist,Lady Gaga ,Lady Gaga ,,Female,2010,42,148,2,2.0,
977,2010,Soul/R&B Male,Male Artist,Usher,Usher,,Male,2010,42,156,5,5.0,
11,2011,Pop/Rock Female,Female Artist,Adele,Adele,,Female,2010,42,148,4,4.0,
978,2011,Soul/R&B Male,Male Artist,Usher,Usher,,Male,2010,42,156,5,5.0,
505,2012,Pop/Rock Female,Female Artist,Katy Perry ,Katy Perry ,,Female,2010,42,148,4,4.0,
979,2012,Soul/R&B Male,Male Artist,Usher,Usher,,Male,2010,42,156,5,5.0,
495,2013,Soul/R&B Male,Male Artist,Justin Timberlake ,Justin Timberlake ,,Male,2010,42,156,3,5.0,
917,2013,Pop/Rock Female,Female Artist,Taylor Swift,Taylor Swift,,Female,2010,42,148,18,23.0,
470,2014,Soul/R&B Male,Male Artist,John Legend ,John Legend ,,Male,2010,42,156,1,1.0,
506,2014,Pop/Rock Female,Female Artist,Katy Perry ,Katy Perry ,,Female,2010,42,148,4,4.0,
72,2015,Pop/Rock Female,Female Artist,Ariana Grande,Ariana Grande,,Female,2010,42,148,3,3.0,
933,2015,Soul/R&B Male,Male Artist,The Weeknd ,The Weeknd ,,Male,2010,42,156,1,1.0,
464,1974,Pop/Rock Male,Male Artist,Jim Croce,Jim Croce,,Male,1970,43,156,1,1.0,
468,1975,Pop/Rock Male,Male Artist,John Denver ,John Denver ,,Male,1970,43,156,3,4.0,
469,1976,Pop/Rock Male,Male Artist,John Denver ,John Denver ,,Male,1970,43,156,3,4.0,
324,1977,Pop/Rock Male,Male Artist,Elton John ,Elton John ,,Male,1970,43,156,2,2.0,
94,1978,Pop/Rock Male,Male Artist,Barry Manilow ,Barry Manilow ,,Male,1970,43,156,3,3.0,
95,1979,Pop/Rock Male,Male Artist,Barry Manilow ,Barry Manilow ,,Male,1970,43,156,3,3.0,
96,1980,Pop/Rock Male,Male Artist,Barry Manilow ,Barry Manilow ,,Male,1980,43,156,3,3.0,
536,1981,Pop/Rock Male,Male Artist,Kenny Rogers ,Kenny Rogers ,,Male,1980,43,156,8,17.0,
537,1982,Pop/Rock Male,Male Artist,Kenny Rogers ,Kenny Rogers ,,Male,1980,43,156,8,17.0,
465,1983,Pop/Rock Male,Male Artist,John Cougar ,John Cougar ,,Male,1980,43,156,1,1.0,
826,1983,Pop/Rock Male,Male Artist,Rick Springfield ,Rick Springfield ,,Male,1980,43,156,1,1.0,
674,1984,Pop/Rock Male,Male Artist,Michael Jackson,Michael Jackson,,Male,1980,43,156,11,24.0,
580,1985,Pop/Rock Male,Male Artist,Lionel Richie,Lionel Richie,,Male,1980,43,156,8,8.0,
164,1986,Pop/Rock Male,Male Artist,Bruce Springsteen ,Bruce Springsteen ,,Male,1980,43,156,1,3.0,
581,1987,Pop/Rock Male,Male Artist,Lionel Richie,Lionel Richie,,Male,1980,43,156,8,8.0,
765,1988,Pop/Rock Male,Male Artist,Paul Simon ,Paul Simon ,,Male,1980,43,156,1,2.0,
389,1989,Pop/Rock Male,Male Artist,George Michael ,George Michael ,,Male,1980,43,156,2,3.0,
136,1990,Pop/Rock Male,Male Artist,Bobby Brown ,Bobby Brown ,,Male,1990,43,156,2,3.0,
777,1991,Pop/Rock Male,Male Artist,Phil Collins ,Phil Collins ,,Male,1990,43,156,2,3.0,
662,1992,Pop/Rock Male,Male Artist,Michael Bolton,Michael Bolton,,Male,1990,43,156,5,5.0,
663,1993,Pop/Rock Male,Male Artist,Michael Bolton,Michael Bolton,,Male,1990,43,156,5,5.0,
346,1994,Pop/Rock Male,Male Artist,Eric Clapton ,Eric Clapton ,,Male,1990,43,156,3,3.0,
664,1995,Pop/Rock Male,Male Artist,Michael Bolton,Michael Bolton,,Male,1990,43,156,5,5.0,
675,1996,Pop/Rock Male,Male Artist,Michael Jackson,Michael Jackson,,Male,1990,43,156,11,24.0,
347,1997,Pop/Rock Male,Male Artist,Eric Clapton ,Eric Clapton ,,Male,1990,43,156,3,3.0,
81,1998,Pop/Rock Male,Male Artist,Babyface ,Babyface ,,Male,1990,43,156,3,3.0,
348,1999,Pop/Rock Male,Male Artist,Eric Clapton ,Eric Clapton ,,Male,1990,43,156,3,3.0,
1013,2000,Pop/Rock Male,Male Artist,Will Smith ,Will Smith ,,Male,2000,43,156,3,5.0,
542,2001,Pop/Rock Male,Male Artist,Kid Rock ,Kid Rock ,,Male,2000,43,156,1,1.0,
566,2002,Pop/Rock Male,Male Artist,Lenny Kravitz ,Lenny Kravitz ,,Male,2000,43,156,1,1.0,
327,2003,Pop/Rock Male,Male Artist,Eminem,Eminem,,Male,2000,43,156,5,5.0,
975,2004,Pop/Rock Male,Male Artist,Usher,Usher,,Male,2000,43,156,5,5.0,
1014,2005,Pop/Rock Male,Male Artist,Will Smith ,Will Smith ,,Male,2000,43,156,3,5.0,
849,2006,Pop/Rock Male,Male Artist,Sean Paul ,Sean Paul ,,Male,2000,43,156,1,1.0,
491,2007,Pop/Rock Male,Male Artist,Justin Timberlake ,Justin Timberlake ,,Male,2000,43,156,3,5.0,
233,2008,Pop/Rock Male,Male Artist,Chris Brown,Chris Brown,,Male,2000,43,156,4,4.0,
676,2009,Pop/Rock Male,Male Artist,Michael Jackson,Michael Jackson,,Male,2000,43,156,11,24.0,
485,2010,Pop/Rock Male,Male Artist,Justin Bieber ,Justin Bieber,,Male,2010,43,156,5,11.0,
170,2011,Pop/Rock Male,Male Artist,Bruno Mars,Bruno Mars,,Male,2010,43,156,4,8.0,
486,2012,Pop/Rock Male,Male Artist,Justin Bieber ,Justin Bieber,,Male,2010,43,156,5,11.0,
492,2013,Pop/Rock Male,Male Artist,Justin Timberlake ,Justin Timberlake ,,Male,2010,43,156,3,5.0,
845,2014,Pop/Rock Male,Male Artist,Sam Smith ,Sam Smith ,,Male,2010,43,156,1,1.0,
321,2015,Pop/Rock Male,Male Artist,Ed Sheeran ,Ed Sheeran ,,Male,2010,43,156,1,1.0,
220,1974,Country Male,Male Artist,Charley Pride,Charley Pride,,Male,1970,44,156,3,3.0,
221,1974,Country Male,Male Artist,Charley Pride,Charley Pride,,Male,1970,44,156,3,3.0,
613,1974,Country Female,Female Artist,Lynn Anderson,Lynn Anderson,,Female,1970,44,148,1,1.0,
614,1974,Country Female,Female Artist,Lynn Anderson ,Lynn Anderson ,,Female,1970,44,148,1,1.0,
224,1975,Country Male,Male Artist,Charlie Rich ,Charlie Rich ,,Male,1970,44,156,1,5.0,
739,1975,Country Female,Female Artist,Olivia Newton-John,Olivia Newton-John,,Female,1970,44,148,6,6.0,
467,1976,Country Male,Male Artist,John Denver ,John Denver ,,Male,1970,44,156,3,4.0,
740,1976,Country Female,Female Artist,Olivia Newton-John,Olivia Newton-John,,Female,1970,44,148,6,6.0,
222,1977,Country Male,Male Artist,Charley Pride,Charley Pride,,Male,1970,44,156,3,3.0,
596,1977,Country Female,Female Artist,Loretta Lynn ,Loretta Lynn ,,Female,1970,44,148,3,3.0,
241,1978,Country Male,Male Artist,Conway Twitty ,Conway Twitty ,,Male,1970,44,156,1,1.0,
597,1978,Country Female,Female Artist,Loretta Lynn ,Loretta Lynn ,,Female,1970,44,148,3,3.0,
251,1979,Country Female,Female Artist,Crystal Gayle ,Crystal Gayle ,,Female,1970,44,148,4,4.0,
527,1979,Country Male,Male Artist,Kenny Rogers ,Kenny Rogers ,,Male,1970,44,156,8,17.0,
252,1980,Country Female,Female Artist,Crystal Gayle ,Crystal Gayle ,,Female,1980,44,148,4,4.0,
528,1980,Country Male,Male Artist,Kenny Rogers ,Kenny Rogers ,,Male,1980,44,156,8,17.0,
86,1981,Country Female,Female Artist,Barbara Mandrell ,Barbara Mandrell ,,Female,1980,44,148,6,7.0,
529,1981,Country Male,Male Artist,Kenny Rogers ,Kenny Rogers ,,Male,1980,44,156,8,17.0,
87,1982,Country Female,Female Artist,Barbara Mandrell ,Barbara Mandrell ,,Female,1980,44,148,6,7.0,
1020,1982,Country Male,Male Artist,Willie Nelson,Willie Nelson,,Male,1980,44,156,7,12.0,
88,1983,Country Female,Female Artist,Barbara Mandrell ,Barbara Mandrell ,,Female,1980,44,148,6,7.0,
530,1983,Country Male,Male Artist,Kenny Rogers ,Kenny Rogers ,,Male,1980,44,156,8,17.0,
89,1984,Country Female,Female Artist,Barbara Mandrell ,Barbara Mandrell ,,Female,1980,44,148,6,7.0,
1021,1984,Country Male,Male Artist,Willie Nelson,Willie Nelson,,Male,1980,44,156,7,12.0,
90,1985,Country Female,Female Artist,Barbara Mandrell ,Barbara Mandrell ,,Female,1980,44,148,6,7.0,
531,1985,Country Male,Male Artist,Kenny Rogers ,Kenny Rogers ,,Male,1980,44,156,8,17.0,
253,1986,Country Female,Female Artist,Crystal Gayle ,Crystal Gayle ,,Female,1980,44,148,4,4.0,
1022,1986,Country Male,Male Artist,Willie Nelson,Willie Nelson,,Male,1980,44,156,7,12.0,
91,1987,Country Female,Female Artist,Barbara Mandrell ,Barbara Mandrell ,,Female,1980,44,148,6,7.0,
1023,1987,Country Male,Male Artist,Willie Nelson,Willie Nelson,,Male,1980,44,156,7,12.0,
794,1988,Country Male,Male Artist,Randy Travis ,Randy Travis ,,Male,1980,44,156,3,10.0,
806,1988,Country Female,Female Artist,Reba Mcentire,Reba Mcentire,,Female,1980,44,148,13,13.0,
